,zip_code,item_description,bottles_sold
0,50010.0,Member's Mark Spiced Rum,288
1,50022.0,Paramount Triple Sec,4
2,50111.0,Saints N Sinners Apple Pie,108
3,50131.0,Platinum 7x Vodka,48
4,50158.0,Hennessy VS,24
5,50263.0,Jagermeister w/2 Shot Glasses,84
6,50265.0,Kahlua Coffee,72
7,50266.0,Avion Silver w/Powell & Mahoney Margarita Mix,90
8,50314.0,Juarez Triple Sec,240
9,50316.0,Hennessy VS,48
10,50317.0,Paul Masson Peach Grande Amber Brandy,24
11,50320.0,Di Amore Quattro Orange,120
12,50327.0,Bacardi Gold Rum PET,102
13,50401.0,Ole Smoky Blackberry Moonshine Mini,48
14,50461.0,Five O'clock Vodka,30
15,50501.0,Titos Vodka,108
16,50588.0,Phillips Root Beer Schnapps,4
17,50662.0,Ole Smoky Apple Pie Moonshine 70prf Mini,8
18,50701.0,Bacardi Gold,7
19,50702.0,Tortilla Gold Dss,768
20,50703.0,Pinnacle Peach w/ Punch Dispenser,180
21,50707.0,Jameson,60
22,50801.0,Bacardi Gold Rum,5
23,51106.0,Kahlua Coffee Liqueur,240
24,51246.0,Arrow Spearmint Schnapps,5
25,51247.0,Dekuyper Triple Sec,6
26,51360.0,Tortilla Gold Dss,48
27,51401.0,Basil Hayden Dark Rye,18
28,51501.0,Juarez Triple Sec,48
29,51555.0,Paramount Gold Rum,2
30,52001.0,Kamora Coffee Liqueur,4
31,52003.0,Bacardi Gold Rum Mini,5
32,52136.0,Five O'clock Vodka,2
33,52172.0,Kahlua Coffee,1
34,52240.0,Juarez Triple Sec,60
35,52241.0,Maestro Agavero Gold,48
36,52314.0,Juarez Gold Dss,1560
37,52338.0,Cedar Ridge Single Malt Single Barrel Select,90
38,52402.0,Montezuma Triple Sec,216
39,52411.0,Everclear Alcohol,36
40,52556.0,Juarez Triple Sec,6
41,52601.0,Five O'clock Vodka,48
42,52627.0,Kapali Coffee Liqueur,36
43,52732.0,Paramount Gold Rum,24
44,52761.0,Dekuyper Peachtree,4
45,52803.0,Everclear Alcohol,3
46,52804.0,Martell VSSD,2
